SIRA NO;SINIF;DERS ADI;ÜNİTE/TEMA/ ÖĞRENME ALANI;KAZANIM/ÖĞRENME ÇIKTISI/BÖLÜM;E-İÇERİK TÜRÜ;AÇIKLAMA;AI Senaryosu;EBA_URL
17;12;Biyoloji 12;2. GEN;BİY.12.2.5. Mendel kalıtım ilkelerinin geçerli olduğu genetik problemleri çözebilme;Video/Etkileşimli İçerik;"Mendel'in kalıtım ilkelerini anlatan ve bu ilkelere göre genetik problemlerin nasıl çözüleceğini gösteren bir video hazırlanır.
Öğrencilerin farklı kalıtım problemlerini çözebileceği, etkileşimli bir uygulama veya oyun hazırlanır.";;
18;12;Biyoloji 12;2. GEN;BİY.12.2.6. Eş baskınlık ve çok alellilikle ilgili deney yapabilme;Video;"Kan gruplarının belirlenmesi ve kan nakli ile ilgili etkileşimli içerik hazırlanır.
Eş baskınlık (AB kan grubu) ve çok alellilik (tavşanlarda kürk rengi) gibi kalıtım durumlarını anlatan ve bu durumları gösteren deneylerin yapılışını gösteren bir video/animasyon hazırlanır.";;
19;12;Biyoloji 12;2. GEN;BİY.12.2.7. Eşeye bağlı kalıtıma ilişkin tümevarımsal akıl yürütebilme;Video/Etkileşimli İçerik;"Eşeye bağlı kalıtımı (renk körlüğü, hemofili) anlatan ve bu kalıtım tipine örnekler veren bir video hazırlanır.
Öğrencilerin soyağaçları üzerinde çalışarak eşeye bağlı kalıtım örüntülerini inceleyebileceği ve genellemeler yapabileceği etkileşimli bir uygulama veya etkinlik hazırlanır.";;
20;12;Biyoloji 12;2. GEN;BİY.12.2.8. Genetik testlerin ve genetik danışmanlığın önemini sorgulayabilme;Video;Farklı genetik hastalıkları( fenilketonüri , SMA , ve kistik fibrozis)  , bu hastalıkları engellenmede kullanılan genetik testlerin çeşitlerini, kullanım amaçlarını ve genetik danışmanlığın önemini anlatan bir video hazırlanır.;;
21;12;Biyoloji 12;2. GEN;BİY.12.2.9. Biyoteknolojinin uygulama alanları ile ilgili bilgi toplayabilme;Video;Biyoteknolojinin tıp, tarım, gıda, çevre gibi farklı alanlardaki uygulamalarını anlatan bir video hazırlanır.;;
22;12;Biyoloji 12;2. GEN;BİY.12.2.10. Biyoteknolojik uygulamaların etik boyutunu eleştirel düşünebilme;Video;Gen klonlama, genetiği değiştirilmiş organizmalar (GDO), kök hücre çalışmaları gibi biyoteknolojik uygulamalarını , bu uygulamaların  etik boyutunu, potansiyel risklerini ve faydalarını tartışan bir video hazırlanır.;;
1;9;Biyoloji 9;1. YAŞAM;Ön Değerlendirme;Video;Biyoloji disiplinindeki gelişmeleri konu alan video hazırlanır;;
2;9;Biyoloji 9;1. YAŞAM;BİY.9.1.1. Biyolojideki dönüm noktalarının insan hayatına katkılarını sorgulayabilme;Video/Etkileşimli İçerik;"Biyolojideki dönüm noktalarını ve insan hayatına etkilerini anlatan bir animasyonlu video hazırlanır.
Biyolojideki aşı, antibiyotik, DNA'nın yapısı, Crispr-Cas, kalıtım, klonlama, polimeraz zincir reaksiyonu (PZR), rekombinant DNA teknolojisi, insan genom projesi gibi dönüm noktalarını kronolojik sırayla gösteren etkileşimli bir zaman çizelgesi hazırlanır.";;
3;9;Biyoloji 9;1. YAŞAM;BİY.9.1.2. Bilimsel araştırma süreçlerinde bilimin doğasını yorumlayabilme;Video/Etkileşimli İçerik;"Bilimsel araştırma sürecinin adımlarını gerçek bir bilimsel araştırma örneği üzerinden anlatan bir video hazırlanır.
Bilimsel araştırma sürecinin adımlarının (gözlem, soru sorma, hipotez oluşturma, deney tasarlama, veri toplama, analiz, sonuç çıkarma) anlatıldığı etkileşimli bir akış şeması hazırlanır.";;
4;9;Biyoloji 9;1. YAŞAM;BİY.9.1.3. Bilimsel araştırmaların bilim etiğine uygunluğu ile ilgili bilgi toplayabilme;Video/Etkileşimli İçerik;"Bilimsel araştırmaların bilim etiğine uygunluğu ile ilgili daha önce yapılmış araştırmalardan örneklerin de sunulduğu bir video hazırlanır.
Bilimsel araştırmaların bilim etik kuralları ile ilgili etkileşimli içerik hazırlanır.
Bilimsel araştırmaların etik kurallar kapsamında uygulama adımlarının sınanabileceği ya da sıralanabileceği etkileşimli içerik hazırlanır.";;
5;9;Biyoloji 9;1. YAŞAM;"BİY.9.1.4. Çevresindeki canlıların özelliklerini bilimsel
olarak gözlemleyebilme";Video;Virüslerin yapısı ve çoğalma mekanizmalarını gösteren video hazırlanır.;;
6;9;Biyoloji 9;1. YAŞAM;BİY.9.1.5. Canlıları sınıflandırabilme;Video/Etkileşimli İçerik;"Canlıların sınıflandırılmasını anlatan bir belgesel veya video hazırlanır.
Farklı canlı gruplarının (hayvanlar, bitkiler, mantarlar, protistler, bakteriler) örneklerini sergileyen bir sanal müze hazırlanır.
Öğrencilerin farklı canlı türlerinin görsellerini ve özelliklerini sınıflandırabilecekleri bir oyun hazırlanır.";;
7;9;Biyoloji 9;1. YAŞAM;BİY.9.1.6. Üç üst âlem (domain) sisteminde yer alan canlıların özellikleri ile ilgili çıkarım yapabilme;Video/Etkileşimli İçerik;"Üç üst âlem içinde yer alan canlıların birbirinden farklı yönlerini ve canlı görsellerini içeren video hazırlanır.
Öğrencilerin görselleri sunulan farklı canlıları verilen özelliklerine göre doğru üst âleme yerleştirmeleri gereken bir oyun hazırlanır.";;
8;9;Biyoloji 9;1. YAŞAM;BİY.9.1.7. Biyoçeşitliliği oluşturan unsurlarla ilgili bilimsel çıkarım yapabilme;Video/Etkileşimli İçerik;Biyoçeşitlilik konusunda belgesel veya etkileşimli içerik hazırlanır.;;
9;9;Biyoloji 9;2. ORGANİZASYON;BİY.9.2.1. İnorganik moleküllerin önemi hakkında bilimsel çıkarım yapabilme;Video/Etkileşimli İçerik;İnorganik bileşiklerin genel özellikleri, canlı yaşamındaki yeri ve önemi konusunda video veya etkileşimli içerik hazırlanır.;;
10;9;Biyoloji 9;2. ORGANİZASYON;BİY.9.2.1. İnorganik moleküllerin önemi hakkında bilimsel çıkarım yapabilme;Etkileşimli İçerik;"Minerallerin (Ca, Mg, P, Fe, Na, K, I, S, Zn, F, Cl) hangi besinlerde bulunduğunu ve eksikliklerinde hangi sağlık sorunlarının ortaya çıkabileceğini gösteren etkileşimli içerik hazırlanır.
Minerallerin (Ca, Mg, P, Fe, Na, K, I, S, Zn, F, Cl) hangi besinlerde bulunduğunu ve eksikliklerinde hangi sağlık sorunlarının ortaya çıkabileceği ile ilgili eşleştirme, işaretleme, kısa cevap, boşluk doldurma, doğru yanlış vb. soruların bulunduğu etkileşimli içerik hazırlanır.";;
11;9;Biyoloji 9;2. ORGANİZASYON;BİY.9.2.2. Organik moleküllerin yapısı ve çeşitleriyle ilgili bilgi toplayabilme;Etkileşimli İçerik;"Karbohidratlar, yağlar, proteinler, enzimler ve nükleik asitlerin 3D molekül modellerini etkileşimli olarak inceleyebilecekleri bir etkileşimli içerik hazırlanır.
Organik molekül türleri ile ilgili etkileşimli bir oyun hazırlanır.";;
12;9;Biyoloji 9;2. ORGANİZASYON;BİY.9.2.3. Besinlerin yapısında karbohidrat, yağ ve protein varlığının belirlenmesiyle ilgili deney yapabilme;Video/Etkileşimli İçerik;"Hangi besin türlerinin varlığının hangi ayraçlar ile belirlenebileceği ile ilgili bir video hazırlanır.
Öğrencilerin sanal bir laboratuvar ortamında farklı besinlerde karbohidrat, yağ ve protein varlığını test edebilecekleri bir benzetim / simülasyon hazırlanır.
Hangi besin türlerinin varlığının hangi ayraçlar ile belirlenebileceği ile ilgili sürükle bırak etkinliği içeren etkileşimli içerik hazırlanır.";;
13;9;Biyoloji 9;2. ORGANİZASYON;BİY.9.2.4. pH ve sıcaklığın enzim aktivitesini etkilediğini gösteren deney yapabilme;Video/Etkileşimli İçerik;"Günlük hayatta karşılaşılan enzim aktivitesi örneklerini gösteren bir video hazırlanır.
Öğrencilerin sanal bir laboratuvar ortamında farklı pH ve sıcaklık değerlerinde enzim aktivitesini test edebilecekleri bir deney benzetim / simülasyonu hazırlanır.";;
14;9;Biyoloji 9;2. ORGANİZASYON;BİY.9.2.5. Hücre alt birimlerini ve bu birimlerin işlevleri arasındaki ilişkileri çözümleyebilme;Video/Etkileşimli İçerik;"Prokaryot ve ökaryot hücre ile ilgili animasyon hazırlanır.
Görselleri verilen prokaryot ve ökaryot hücrelerin alt birimleri, alt birimlerinin görevleri ve diğer alt birimlerle ilişkisi ile ilgili etkileşimli içerik hazırlanır.";;
15;9;Biyoloji 9;2. ORGANİZASYON;BİY.9.2.6. Hücre zarından madde geçişlerini sınıflandırabilme;Video/Etkileşimli İçerik;Hücre zarından farklı madde geçişlerini (difüzyon, osmoz, aktif taşıma, endositoz, ekzositoz) görsel olarak açıklayan bir animasyon veya etkileşimli içerik hazırlanır.;;
16;9;Biyoloji 9;2. ORGANİZASYON;BİY.9.2.7. Küçük moleküllerin hücre zarından pasif geçişi ile ilgili deney yapabilme;Video/Etkileşimli İçerik;"Farklı ortamlardaki (hipertonik, izotonik, hipotonik) hücrelerin içine ve dışına su geçişini gösteren video hazırlanır.
Öğrencilerin farklı ortamlardaki (hipertonik, izotonik, hipotonik) hücrelerin içine ve dışına su geçişini gözlemleyebilecekleri, çözünen madde miktarını ve hücre zarının geçirgenliğini değiştirebilecekleri bir benzetim / simülasyon hazırlanır.";;
17;9;Biyoloji 9;2. ORGANİZASYON;BİY.9.2.8. Hücreden doku, organ ve sistemlerin organizasyonuyla ilgili tümevarımsal akıl yürütebilme;Etkileşimli İçerik;Hücreden doku, organ ve sistemlerin oluşumunu basitten karmaşığa doğru gösteren etkileşimli bir bilgi görseli hazırlanır.;;
1;10;Coğrafya 10;1. COĞRAFYANIN DOĞASI;COĞ.10.1.1. Örnek olay, olgu ve/veya mekânı coğrafyanın temel kavramları ile ilişkilendirebilme;Video/Etkileşimli İçerik;"Örnek bir olay veya olgu (göç, ulaşım, küresel ticaret, iklim değişikliği, afet vb.) seçilerek öğrencilerin “Ne?”, “Nerede?”, “Ne zaman?”, “Neden orada?”, “Neden önemli?”, “Bulunduğu ortamın özellikleri neler?”, “Doğal ve beşerî ortamlarla nasıl bir ilişkisi var?” gibi soruların yanıtlarına ulaşabilecekleri; seçilen olay veya olgunun doğal ve beşerî ortamda meydana getirdiği etkileri sorgulayabilecekleri bir içerik hazırlanır.";;
2;10;Coğrafya 10;2. MEKÂNSAL BİLGİ TEKNOLOJİLERİ;Köprü Kurma;Etkileşimli İçerik;CBS ve uzaktan algılamanın kullanım alanlarına (meteorolojik veriler, navigasyon sistemleri vb.) yönelik farklı türde haritaların ve uydu görüntülerinin incelenmesini sağlayan bir içerik hazırlanır.;;
3;10;Coğrafya 10;3. DOĞAL SİSTEMLER VE SÜREÇLER;Köprü Kurma;Etkileşimli İçerik;Büyük levhaların kullanıldığı, dünya haritası şeklinde bir yapboz oluşturulur.;;
4;10;Coğrafya 10;3. DOĞAL SİSTEMLER VE SÜREÇLER;COĞ.10.3.1. Yerkürenin tektonik yapısını çözümleyebilme;Video/Etkileşimli İçerik;"Dünya’nın iç yapısını, konveksiyonel hareketler ve yer kabuğundaki levha hareketlerini; bu hareketlerin levha sınırlarında oluşturduğu mekanik süreçleri ve bu süreçler sonucunda oluşan yeni yer şekillerini belirlenmesini sağlayacak bir içerik hazırlanır.
Dünya’nın hem geçmişteki görünümü hem de gelecekteki muhtemel görünümü hakkında bilgiler içeren, levha tektoniği ile ilgili  video (animasyon) hazırlanır.
Dünya levha sınırları, deprem bölgeleri, volkanizma, orojenik kuşaklar, fay hatları, jeotermal alanlar, yer kabuğunun yatay ve düşey hareket gösterdiği alanların ilişkilendirilip levha tektoniği ile bağlantısının kurulduğu bir içerik hazırlanır.
Türkiye arazisinin tektonik yapısını; orojenik kuşaklar, volkanik alanlar, deprem alanları ve jeotermal alanlarla ilişkilendiren bir içerik hazırlanır.
Jeolojik zamanlarda meydana gelen Türkiye ve dünya ölçeğinde önemli olayların ifade edildiği, tablo ya da tarih şeridi şeklinde tasarlanmış bir içerik hazırlanır.";;
5;10;Coğrafya 10;3. DOĞAL SİSTEMLER VE SÜREÇLER;COĞ.10.3.2. Yeryüzü şekillerinin oluşumunda etkili olan aşınma ve çözünme süreçleri ile iklim ve kayaç özellikleri arasındaki ilişkileri yapılandırabilme;Video/Etkileşimli İçerik;Aşınma ve çözünme süreçleri ile iklim özellikleri ve kayaç yapısı faktörleri arasındaki ilişkileri, süreç sonucunda oluşan yer şekilleriyle ilişkilendiren bir içerik hazırlanır.;;
6;10;Coğrafya 10;3. DOĞAL SİSTEMLER VE SÜREÇLER;COĞ.10.3.3. Yeryüzü şekillerinin oluşumunu aşınım ve birikim süreçleri açısından çözümleyebilme;Video/Etkileşimli İçerik;Dünya ve/veya Türkiye haritaları kullanılarak belli bölgelerin coğrafi koşulları ile o bölgelerde gelişen yer şekillerinin oluşum koşulları ve süreçlerinin çözümlendiği bir içerik hazırlanır.;;
7;10;Coğrafya 10;3. DOĞAL SİSTEMLER VE SÜREÇLER;COĞ.10.3.4. Yeryüzü şekillerinin oluşumunda doğal süreçlerin etkilerini saha/sanal saha çalışmalarıyla araştırabilme;Video/Etkileşimli İçerik;"Türkiye veya dünyada; akarsu, rüzgâr, buzul, dalga-akıntılar ve karstlaşma süreçleri sonucunda oluşmuş birer yer şekli seçilerek, bu yer şekillerinin nasıl oluştuğunun coğrafi temsiller aracılığıyla açıklandığı bir içerik hazırlanır.";;
8;10;Coğrafya 10;3. DOĞAL SİSTEMLER VE SÜREÇLER;COĞ.10.3.5. Yakın çevresindeki yeryüzü şekilleri ile beşerî faaliyetler arasındaki etkileşimi sorgulayabilme;Video/Etkileşimli İçerik;Yer şekilleri (ova, dağ, plato, vadi, kıyı, mağara, traverten vb.) ile beşerî faaliyetler (yerleşme, tarım, turizm vb.) arasındaki etkileşimi açıklayan, yer şekillerinin ekonomi, yerleşme, sosyal hayat ve kültürel dokuya etkilerinin çözümlenmesini sağlayacak bir içerik hazırlanır.;;
9;10;Coğrafya 10;4. BEŞERÎ SİSTEMLER VE SÜREÇLER;COĞ.10.4.2. Türkiye ve dünyadaki yerleşmeleri fonksiyonlarına göre sınıflandırabilme;Video/Etkileşimli İçerik;Harita üzerinde Türkiye ve farklı gelişmişlik düzeyine sahip ülkelerde yer alan an az on adet örnek yerleşmenin fonksiyonlarının belirlenebildiği, söz konusu fonksiyonların gelişiminde belirleyici olan coğrafi faktörlerin açıklandığı bir içerik hazırlanır.;;
10;10;Coğrafya 10;5. EKONOMİK FAALİYETLER VE ETKİLERİ;Köprü Kurma;Etkileşimli İçerik;Ekonomik faaliyetlerle ilgili görsellerin kullanıldığı, bu faaliyetlerin (tarım, sanayi ve hizmet sektörleri) yerleşmelerin gelişimi üzerindeki etkilerinin açıklandığı bir içerik hazırlanır.;;
11;10;Coğrafya 10;5. EKONOMİK FAALİYETLER VE ETKİLERİ;COĞ.10.5.2. Ekonomik sektörlerin dağılımını gösteren tablo, grafik, şekil ve/veya diyagramlar üzerinden farklı gelişmişlik seviyesine sahip ülkeleri karşılaştırabilme;Video/Etkileşimli İçerik;Farklı gelişmişlik seviyesine sahip olan beş ülkede çalışan nüfusun tarım, sanayi ve hizmet sektörlerine dağılışı ve bu sektörlerin GSYİH oranını gösteren coğrafi temsillerin verildiği, öğrencilerin bu ülkelerin gelişmişlik seviyelerine yönelik puanlama yapmasını sağlayacak bir içerik hazırlanır.;;
12;10;Coğrafya 10;5. EKONOMİK FAALİYETLER VE ETKİLERİ;COĞ.10.5.3. Ekonomik sektörlerin Türkiye ekonomisindeki yeri ve önemini gösteren tablo, grafik, şekil ve/veya diyagram hazırlayabilme;Video/Etkileşimli İçerik;Türkiye’de ekonomik sektörlerde gerçekleştirilen yerli üretimin ülke ekonomisine katkılarını açıklayan bir içerik hazırlanır.;;
13;10;Coğrafya 10;6. AFETLER VE SÜRDÜRÜLEBİLİR ÇEVRE;Köprü Kurma;Video/Etkileşimli İçerik;Aynı özellikteki ekstrem bir doğa olayının farklı şekilde etkilediği (afete yol açma veya açmama) yerleşmelere ait görsel ve metinleri içeren ve bu farklılığın nedenlerini açıklayan bir içerik hazırlanır.;;
14;10;Coğrafya 10;6. AFETLER VE SÜRDÜRÜLEBİLİR ÇEVRE;COĞ.10.6.1. Afetlerle mücadelede iyi uygulama örneklerini sorgulayabilme;Video/Etkileşimli İçerik;Geçmiş yıllarda yaşanmış en az iki afete ilişkin resim, fotoğraf ve/veya gravür örnekleri verilir ve günümüzde bu afetlere karşı geliştirilmiş çözümler ve iyi uygulama örneklerine yer verilen bir içerik hazırlanır.;;
15;10;Coğrafya 10;6. AFETLER VE SÜRDÜRÜLEBİLİR ÇEVRE;COĞ.10.6.2. Afete dirençli yaşam alanlarının coğrafi koşullarını çözümleyebilme;Video/Etkileşimli İçerik;Afete dirençli yaşam alanlarının oluşturulabilmesi için geliştirilmesi gereken çözümlerin, seçilmiş beş farklı afet türü ile eşleştirildiği bir içerik hazırlanır.;;
16;10;Coğrafya 10;6. AFETLER VE SÜRDÜRÜLEBİLİR ÇEVRE;COĞ.10.6.3. Mekânın özelliklerine göre afetlerden korunma uygulamalarına karar verebilme;Video/Etkileşimli İçerik;Afet ve acil durum çantası hazırlanmasının önemini, aşamalarını ve bu çantada neler olması gerektiğini anlatan bir içerik hazırlanır.;;
17;10;Coğrafya 10;7. BÖLGELER, ÜLKELER VE KÜRESEL BAĞLANTILAR;Köprü Kurma;Video/Etkileşimli İçerik;Geleneksel Türk müziğine ait eserlerin veya sözlerinin verildiği, bu eserlerdeki kültür unsurlarının analiz edilmesini sağlayan bir içerik hazırlanır.;;
18;10;Coğrafya 10;7. BÖLGELER, ÜLKELER VE KÜRESEL BAĞLANTILAR;COĞ.10.7.1. Türk dünyasının ortak kültürel özellikleri hakkında çıkarım yapabilme;Video/Etkileşimli İçerik;Türk devletleri ve KKTC ile Türkiye’nin tarihî bağlarının ve sosyokültürel ilişkilerinin vurgulandığı, Türk kültürünün yayılış alanlarındaki ortak kültürel özellikler hakkında çıkarımların yapıldığı, bu ülkelere (KKTC ve seçilen iki farklı Türk ülkesi) sanal gezilerin yapıldığı bir içerik hazırlanır.;;
1;11;Coğrafya 11;1. COĞRAFYANIN DOĞASI;Köprü Kurma;Video/Etkileşimli İçerik;Mekânsal sorunlar ve bu sorunların çözümüne ilişkin haber, okuma parçası, belgesel, video veya etkileşimli video hazırlanır.;;
2;11;Coğrafya 11;2. MEKÂNSAL BİLGİ TEKNOLOJİLERİ;COĞ.11.2.1. Web tabanlı CBS aracılığı ile harita uygulamaları yapabilme;Video;"Web tabanlı CBS uygulamasına giriş yapılıp kullanıcı arayüzünde bulunan katman yöneticisi, menü arama çubuğu, nesne gezgini, araç çubuğu ve çizim ekranının tanıtılarak yeni harita oluşturmayı gösteren bir içerik hazırlanır.
Öğrencilerin web tabanlı CBS araçlarını kullanarak kendi haritalarını oluşturabileceği ve coğrafi verileri analiz edebileceği etkileşimli bir uygulama hazırlanır.";;
